id,numCompanies,title,genre,family_genre,version
1124405,40,iFamous,SOCIAL,NA,1.04
121736,35,"Newspaper World :News,Websites",NEWS_AND_MAGAZINES,NA,2017-05-18
175158,33,Star Girl Chic Boutique,GAME_CASUAL,NA,1.0.0
754185,33,Bookmarks FreeGB,TOOLS,NA,2017-08-04
82641,31,Beauty Idol,GAME_ADVENTURE,NA,1.2.0
170281,31,Tiffany Alvord Dream World,GAME_MUSIC,FAMILY_PRETEND,1.0.0
244497,31,Little Mermaid Cafe,GAME_BOARD,NA,1.0.0
460680,31,McSecure Mobile Security,TOOLS,NA,1.4.5
666278,31,Beauty Idol for Kakao,GAME_ADVENTURE,NA,1.0.1
23680,30,Puzzle Quest 2,GAME_PUZZLE,NA,1.1.9
23943,30,Smash Cops Heat,GAME_RACING,NA,1.10.06
23950,30,Smash Bandits Racing,GAME_RACING,NA,1.09.07
59642,30,Skyline Skaters,GAME_ACTION,NA,2.16.1
86669,29,Grumpy Bears,GAME_CASUAL,NA,1.1.09
228464,29,Snow Racer Friends Free,GAME_RACING,NA,1.1.11
1101227,29,Word Meister Friends Free,GAME_WORD,NA,2.0.07
29941,28,Galaga Special Edition Free,GAME_ACTION,NA,1.1.1
33930,28,Slidejoy - Lock Screen Cash,SHOPPING,NA,2.0.8
35360,28,Touch Racing 2 - Mini RC Race,GAME_RACING,FAMILY_ACTION,1.4.2.1
81712,28,Fruit Pop!,GAME_PUZZLE,NA,1.2.384
94221,28,Flight Control Demo,GAME_CASUAL,NA,5.3
113740,28,Family Fun Coloring Book,GAME_CASUAL,NA,1.2
119415,28,Zoner AntiVirus,TOOLS,NA,1.13.3
125701,28,Coloring Book Enchanted Forest,ENTERTAINMENT,NA,2.1
157740,28,Coloring Book - Inspiration,ENTERTAINMENT,NA,1.3
262184,28,Adult Coloring Pages: Animals,ENTERTAINMENT,NA,2.1
296372,28,Animal Coloring Book for Adult,ENTERTAINMENT,NA,1.6
469592,28,Coloring Pages for Adults Free,ENTERTAINMENT,NA,1.4
487426,28,GayBots,GAME_CARD,NA,1.2.01
565059,28,Color ME - Coloring Book Free,GAME_CASUAL,NA,1.1
638184,28,خلي يولن,GAME_ACTION,NA,1.1.80
923635,28,Zombie Escape Driving 3D,GAME_SIMULATION,NA,1.1
1016709,28,Color Therapy Pages - Flowers,ENTERTAINMENT,NA,1.4
1076761,28,Coloring Pages - Magic Garden,ENTERTAINMENT,NA,1.7
1081966,28,Gun Simulator,GAME_SIMULATION,NA,1.2
