leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,88.15,Google,87.28,US
Alphabet,88.15,Doubleclick,67.17,US
Alphabet,88.15,Google Analytics,41.95,US
Alphabet,88.15,Google Tag Manager,36.28,US
Alphabet,88.15,Admob,9.91,US
Alphabet,88.15,Youtube,3.14,US
Alphabet,88.15,Blogger,0.13,US
Facebook,41.67,Facebook,41.67,US
Facebook,41.67,Liverail,1.24,US
Amazon,34.28,Amazon,21.05,US
Amazon,34.28,Amazon Web Services,18.11,US
Amazon,34.28,Amazon Marketing Services,3.65,US
Twitter,28.92,Twitter,28.85,US
Twitter,28.92,Mopub,2.45,US
Microsoft,22.83,Microsoft,22.81,US
Microsoft,22.83,Bing,0.03,US
Verizon,20.09,Yahoo,20.09,US
Verizon,20.09,Aol,0.01,US
Linkedin,20,Linkedin,20,US
Chartboost,18.95,Chartboost,18.95,
Oath,13.63,Flurry,13.07,US
Oath,13.63,Tumblr,0.84,US
Oath,13.63,Flickr,0.55,US
Applovin,13.37,Applovin,13.37,US
Cloudflare,13.01,Cloudflare,13.01,US
Vungle,11.68,Vungle,11.68,US
Opera,10.2,Adcolony,10.2,US
Unity Technologies,9.88,Applifier,9.88,FI
Adobe,7.91,Adobe,7.91,US
Inmobi,5.24,Inmobi,5.24,SG
Appsflyer,4.55,Appsflyer,4.55,US
Ironsource,4.18,Ironsource,4.18,US
Superawesome,3.62,Superawesome,3.62,UK
Akamai,2.68,Akamai,2.68,US
Appnext,2.44,Appnext,2.44,UK
Apple,2.08,Apple,2.08,US
Drawbridge,2,Drawbridge,2,US
Moat,1.84,Moat,1.84,US
Tencent,1.68,Tencent,1.68,CN
Yandex,1.57,Yandex,1.57,RU
Pubnative,1.52,Pubnative,1.52,DE
Revmob,1.47,Revmob,1.47,DE
Appodeal,1.43,Appodeal,1.43,US
Alibaba,1.27,Alibaba,1.27,CN
Impact Radius,1.27,Forensiq,1.27,US
Samsung,1.18,Samsung,1.18,KR
Tapjoy,1.05,Tapjoy,1.05,US
Spearhead Integrated Marketing Communication ,1.01,Smaato,1.01,US
360,0.97,360,0.97,CN
Rubicon Project,0.84,Rubicon Project,0.84,US
RNTS Media,0.77,Fyber,0.77,US
Millennialmedia,0.76,Millennialmedia,0.76,
Mail.ru,0.71,Mail.ru,0.71,RU
Aerserv,0.66,Aerserv,0.66,US
Cheetahmobile,0.66,Cheetahmobile,0.66,CN
Sina,0.63,Weibo,0.38,CN
Sina,0.63,Sina,0.28,CN
Mobfox,0.55,Mobfox,0.55,AT
Localytics,0.5,Localytics,0.5,UK
Adbuddiz,0.49,Adbuddiz,0.49,FR
Integral Ad Science,0.47,Integral Ad Science,0.47,US
Wikimedia Foundation,0.46,Wikimedia Foundation,0.46,US
comScore,0.45,Scorecardresearch,0.45,US
comScore,0.45,Voicefive,0.09,US
Baidu,0.39,Baidu,0.39,CN
IAC,0.36,Vimeo,0.35,US
IAC,0.36,Dictionary.com,0.01,US
Nexage,0.36,Nexage,0.36,US
Foursquare,0.32,Foursquare,0.32,US
Openx,0.29,Openx,0.29,US
Netease,0.28,Netease,0.28,CN
Sohu,0.28,Sohu,0.28,CN
Oracle,0.27,Oracle,0.19,US
Oracle,0.27,Blue Kai,0.08,US
Mocomplex,0.24,Mocomplex,0.24,KR
Branch,0.22,Branch,0.22,US
Hyprmx,0.2,Hyprmx,0.2,US
Tune,0.18,Tune,0.18,US
Presage,0.16,Presage,0.16,US
Swrve,0.16,Swrve,0.16,US
Appnexus,0.12,Appnexus,0.12,US
Urbanairship,0.1,Urbanairship,0.1,US
Noosphere,0.09,Flksu,0.09,US
I-Mobile,0.08,I-Mobile,0.08,JP
Appboy,0.07,Appboy,0.07,US
New Relic,0.06,New Relic,0.06,US
Brightcove,0.04,Brightcove,0.04,US
Daum,0.04,Daum,0.04,KR
Pinterest,0.04,Pinterest,0.04,US
Adstir,0.03,Adstir,0.03,JP
Apsalar,0.03,Apsalar,0.03,US
Bugsnag,0.03,Bugsnag,0.03,US
China InterActive,0.03,Ren Ren,0.03,CN
Igaworks,0.03,Igaworks,0.03,KR
Mailchimp,0.03,Mailchimp,0.03,US
Mapbox,0.03,Mapbox,0.03,US
Mcro,0.03,Mcro,0.03,US
Infonline,0.02,Infonline,0.02,DE
Jumptap,0.02,Jumptap,0.02,
Loopme,0.02,Loopme,0.02,UK
Youku Tudou,0.02,Youku Tudou,0.02,CN
Disqus,0.01,Disqus,0.01,US
Farlex,0.01,Farlex,0.01,US
Iperceptions,0.01,Iperceptions,0.01,US
Krux Digital,0.01,Krux Digital,0.01,US
Mediametrie,0.01,Mediametrie,0.01,RO
Science,0.01,Playhaven,0.01,US
Smart Adserver,0.01,Smart Adserver,0.01,UK
