genre,numApps,meanTrackers,median,mode,min,max,SD,pctMoreThan20,pctNone
GAME_CASINO,4204,20.9,19,27,0,63,12.49,46.05,3.62
GAME_ROLE_PLAYING,3321,17.8,16,0,0,117,13.07,37.34,7.65
GAME_SIMULATION,17513,18.4,16,9,0,73,12.28,34.47,2.72
GAME_TRIVIA,6102,20,16,16,0,78,15.4,31.27,3.85
GAME_WORD,2977,18.2,15,9,0,64,13.79,32.58,4.03
DATING,1039,15.4,14,12,0,46,9.5,30.41,3.08
GAME_ACTION,16695,16.5,14,0,0,92,11.84,29.49,6.44
GAME_RACING,8162,16.3,14,9,0,80,11.33,26.93,3.31
GAME_ADVENTURE,12089,14.3,13,16,0,72,10.16,19.31,5.77
GAME_STRATEGY,3741,15.4,13,0,0,74,11.97,28.01,9.81
NEWS_AND_MAGAZINES,26281,15.8,13,0,0,688,12.46,27.54,6.77
PARENTING,858,13.7,13,9,0,58,8.55,16.08,3.03
GAME_CASUAL,29075,15.1,12,0,0,73,11.44,25.33,7.9
GAME_SPORTS,5257,14.8,12,0,0,62,10.94,24.27,6.96
PHOTOGRAPHY,22217,13.6,12,10,0,62,7.87,16,3.96
ENTERTAINMENT,81989,13,11,9,0,201,9.75,18.42,7.01
GAME_ARCADE,24614,12.9,11,0,0,108,10.14,17.35,10.42
GAME_BOARD,3787,13,11,0,0,61,10.65,19.59,11.25
GAME_CARD,4246,14.1,11,0,0,81,11.56,24.63,9.75
GAME_MUSIC,1704,13.6,11,9,0,69,9.4,21.89,6.4
GAME_PUZZLE,23999,14.4,11,0,0,70,12.25,21.6,8.7
PERSONALIZATION,40642,13.2,11,0,0,79,11.43,20.26,10.68
SOCIAL,18889,12.4,11,0,0,126,9.86,18.88,8.4
SPORTS,18325,13.3,11,0,0,273,11.41,21.25,9.08
ART_AND_DESIGN,5376,10.5,10,10,0,50,6.37,7.38,2.46
BEAUTY,2288,12.9,10,9,0,51,8.73,14.64,1.27
BOOKS_AND_REFERENCE,58197,10.8,10,9,0,100,7.95,10.43,7.49
COMICS,1783,11.3,10,0,0,55,9.36,14.25,10.1
FOOD_AND_DRINK,7536,12.5,10,9,0,73,8.56,16.12,1.74
GAME_EDUCATIONAL,11320,11.8,10,0,0,88,10.96,16.2,13.03
HEALTH_AND_FITNESS,25771,11.3,10,0,0,88,9.07,12.61,10.36
LIFESTYLE,59463,12,10,9,0,93,9.46,15.93,7.28
MUSIC_AND_AUDIO,65099,12.5,10,9,0,90,7.51,13.65,4.21
SHOPPING,14260,11.8,10,0,0,95,9.75,18.53,10.27
TRAVEL_AND_LOCAL,30079,12,10,0,0,221,9.71,18.09,9.63
WEATHER,3630,13.2,10,0,0,57,11.66,21.46,11.29
AUTO_AND_VEHICLES,2462,10.6,9,1,0,60,8.44,8.04,6.46
EDUCATION,79730,10,9,0,0,100,8.86,10.71,12.01
EVENTS,2000,10.8,9,1,0,51,9.14,13.5,2.7
HOUSE_AND_HOME,1973,10.1,9,6,0,46,8.34,10.29,4.87
MAPS_AND_NAVIGATION,10959,9.8,9,0,0,98,7.93,8.51,11.85
VIDEO_PLAYERS,11049,10.5,9,0,0,68,9.22,11.91,15.11
BUSINESS,51719,10.5,8,0,0,67,10.39,15.2,13.93
COMMUNICATION,19709,9,7,0,0,85,9.72,10.69,19.36
FINANCE,19316,8.3,7,0,0,73,7.82,6.62,13.09
MEDICAL,11046,8.3,7,0,0,55,8.57,8.38,17.79
PRODUCTIVITY,25469,8.3,7,0,0,73,8.17,6.65,18.01
TOOLS,58832,7.9,7,0,0,106,7.94,5.88,20.88
LIBRARIES_AND_DEMO,2634,6.8,3,0,0,55,8.62,7.56,33.45
